"indice","num_tema_cadastrado","sugerido_1","sugerido_2","sugerido_3","sugerido_4","sugerido_5","sugerido_6","similaridade_1","similaridade_2","similaridade_3","similaridade_4","similaridade_5","similaridade_6","posicao_tema_real"
100,14,1033,1169,1178,1056,0,0,38,32,18,12,0,0,0
101,14,1033,1130,1169,1178,0,0,41,24,19,16,0,0,0
102,14,1033,1130,1178,1169,0,0,41,23,20,16,0,0,0
103,14,1033,1178,1169,1130,0,0,50,22,18,10,0,0,0
104,14,1033,1169,1178,1130,0,0,44,26,18,12,0,0,0
105,14,1169,1033,1178,503,1130,0,37,24,16,12,11,0,0
106,14,1033,1169,1178,0,0,0,45,41,14,0,0,0,0
107,14,1033,1178,1169,0,0,0,67,18,15,0,0,0,0
108,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
109,14,1033,1130,1169,1178,0,0,41,24,19,16,0,0,0
110,14,1033,1130,1178,1169,0,0,42,24,18,16,0,0,0
111,14,1033,1178,1169,0,0,0,68,17,15,0,0,0,0
112,14,1033,1130,1169,1178,0,0,41,26,18,15,0,0,0
113,14,1033,1130,1169,1178,0,0,41,26,18,15,0,0,0
114,14,1033,1169,1130,1178,0,0,28,30,25,17,0,0,0
115,14,1033,1169,0,0,0,0,86,14,0,0,0,0,0
116,14,1033,1169,1178,0,0,0,55,27,18,0,0,0,0
117,14,1033,1169,1130,1178,0,0,31,28,26,15,0,0,0
118,14,1033,1169,1130,1178,0,0,31,28,26,15,0,0,0
119,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
120,14,1130,1033,1169,1178,503,0,24,23,26,16,11,0,0
121,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
122,14,1033,1130,1169,1178,0,0,45,28,14,13,0,0,0
123,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
124,14,1033,1178,1169,1130,0,0,56,18,14,12,0,0,0
125,14,1033,1130,1169,1178,1109,0,30,26,18,14,12,0,0
126,14,1033,1169,1130,1178,0,0,29,28,24,19,0,0,0
127,14,1033,1169,1130,1178,0,0,29,31,24,16,0,0,0
128,14,1033,1130,1169,1178,0,0,38,27,19,16,0,0,0
129,14,1033,1169,1178,0,0,0,55,30,15,0,0,0,0
130,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
131,14,1033,1130,1169,1178,0,0,31,27,27,15,0,0,0
132,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
133,14,1033,1169,1178,0,0,0,72,14,14,0,0,0,0
134,14,1033,1169,1178,0,0,0,70,15,15,0,0,0,0
135,14,1033,1178,1169,1130,0,0,56,18,14,12,0,0,0
136,14,1033,1130,1178,1169,0,0,42,26,18,14,0,0,0
137,14,1033,1178,1169,0,0,0,68,18,14,0,0,0,0
138,14,1033,1169,1178,0,0,0,59,27,14,0,0,0,0
139,14,1033,1169,1178,0,0,0,45,41,14,0,0,0,0
140,14,1033,1169,1178,0,0,0,45,41,14,0,0,0,0
141,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
142,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
143,14,1033,1178,1169,0,0,0,67,20,13,0,0,0,0
144,14,1033,1130,1169,1178,0,0,45,28,14,13,0,0,0
145,14,1033,1130,1178,1169,0,0,45,26,15,14,0,0,0
146,14,1169,1130,1178,503,1033,0,35,28,15,11,11,0,0
147,14,1033,1169,1178,0,0,0,69,17,14,0,0,0,0
148,14,1033,1130,1178,1169,0,0,42,24,19,15,0,0,0
149,14,1033,1130,1169,1178,0,0,38,27,19,16,0,0,0
150,14,1033,1130,1178,1169,0,0,40,24,20,16,0,0,0
151,14,1033,1169,1178,0,0,0,57,28,15,0,0,0,0
152,14,1169,1130,1178,503,1141,0,30,29,18,12,11,0,0
153,14,1033,1130,1169,1178,0,0,45,28,14,13,0,0,0
154,14,1033,1169,1178,0,0,0,57,29,14,0,0,0,0
155,14,1033,1178,1169,0,0,0,69,17,14,0,0,0,0
156,14,1033,1130,1178,1169,0,0,42,25,19,14,0,0,0
157,14,1033,1130,1169,1178,0,0,42,23,19,16,0,0,0
158,14,1033,1178,1169,0,0,0,72,15,13,0,0,0,0
159,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
160,14,1033,1178,1169,0,0,0,69,17,14,0,0,0,0
161,14,1033,1178,1169,0,0,0,69,17,14,0,0,0,0
162,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
163,14,1033,1130,1178,1169,0,0,41,23,20,16,0,0,0
164,14,1033,1130,1169,1178,0,0,41,24,19,16,0,0,0
165,14,1033,1169,1130,1178,0,0,28,30,25,17,0,0,0
166,14,1033,1130,1178,1169,0,0,41,23,20,16,0,0,0
167,14,1033,1130,1169,1178,0,0,29,28,29,14,0,0,0
168,14,1033,1130,1178,1169,0,0,42,26,18,14,0,0,0
169,14,1130,1033,1169,1178,503,0,25,25,26,14,10,0,0
170,14,1033,1130,1169,1178,0,0,39,25,19,17,0,0,0
171,14,1033,1169,0,0,0,0,85,15,0,0,0,0,0
172,14,1033,1130,1178,1169,0,0,39,24,21,16,0,0,0
173,14,1033,1178,1169,0,0,0,67,18,15,0,0,0,0
174,14,1033,0,0,0,0,0,100,0,0,0,0,0,0
175,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
176,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
177,14,1169,1130,1178,503,1033,0,29,28,20,12,11,0,0
178,14,1169,1130,1178,503,1141,0,30,29,18,12,11,0,0
179,14,1033,1178,1169,0,0,0,67,19,14,0,0,0,0
180,14,1033,1178,1169,0,0,0,68,18,14,0,0,0,0
181,14,1033,1178,1169,0,0,0,67,19,14,0,0,0,0
182,14,1033,1178,1169,0,0,0,67,18,15,0,0,0,0
183,14,1033,1178,1169,0,0,0,66,19,15,0,0,0,0
184,14,1033,1169,1178,0,0,0,57,28,15,0,0,0,0
185,14,1033,1169,1178,0,0,0,57,28,15,0,0,0,0
186,14,1130,1169,1178,503,1141,0,28,28,18,13,13,0,0
187,14,1033,1130,1178,1169,0,0,41,23,20,16,0,0,0
188,14,1033,1130,1178,0,0,0,58,29,13,0,0,0,0
189,14,1033,1169,1178,0,0,0,54,28,18,0,0,0,0
190,14,1033,1130,1169,1178,0,0,47,24,15,14,0,0,0
191,14,1033,1130,1178,1169,0,0,43,30,14,13,0,0,0
192,14,1033,1130,1178,1169,0,0,42,26,18,14,0,0,0
193,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
194,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
195,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
196,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
197,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
198,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
199,14,1033,1130,1169,1178,0,0,32,27,27,14,0,0,0
200,14,1169,1130,1178,503,1033,0,35,28,15,11,11,0,0
201,14,1169,1130,1178,503,1033,0,35,28,15,11,11,0,0
202,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
203,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
204,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
205,14,1033,1169,1178,1130,0,0,54,18,16,12,0,0,0
206,14,1033,1169,1130,1178,0,0,30,27,25,18,0,0,0
207,14,1033,1130,1169,1178,0,0,42,24,18,16,0,0,0
208,14,1033,1178,1169,0,0,0,71,16,13,0,0,0,0
209,14,1033,1130,1169,1178,0,0,41,27,18,14,0,0,0
210,14,1033,1169,1130,1178,0,0,30,28,26,16,0,0,0
211,14,1033,1178,1169,0,0,0,67,19,14,0,0,0,0
212,14,1033,1169,1129,0,0,0,70,16,14,0,0,0,0
213,14,1033,1130,1178,1169,0,0,43,28,15,14,0,0,0
214,14,1033,1130,1169,1178,0,0,42,27,17,14,0,0,0
215,14,1033,1130,1169,1178,0,0,42,27,17,14,0,0,0
216,14,1033,0,0,0,0,0,100,0,0,0,0,0,0
217,14,1033,1178,1169,0,0,0,69,17,14,0,0,0,0
218,14,1033,1169,1178,503,0,0,37,36,14,13,0,0,0
219,14,1033,1169,1178,0,0,0,54,31,15,0,0,0,0
220,14,1033,1169,1178,0,0,0,57,28,15,0,0,0,0
221,14,1169,1033,503,1178,1005,0,36,25,14,13,12,0,0
222,14,1033,1169,1178,0,0,0,57,27,16,0,0,0,0
223,14,1033,1169,1076,1178,0,0,39,35,13,13,0,0,0
224,14,1130,1169,1178,503,1033,0,31,30,16,12,11,0,0
225,14,1033,1130,1178,1169,0,0,47,26,14,13,0,0,0
226,14,1033,1130,1178,1169,0,0,40,27,18,15,0,0,0
227,14,1033,1169,1178,0,0,0,68,17,15,0,0,0,0
228,14,1033,1130,1178,1169,0,0,41,23,20,16,0,0,0
229,14,1033,1169,1178,1130,0,0,44,26,18,12,0,0,0
230,14,1033,1169,1178,0,0,0,69,17,14,0,0,0,0
231,14,1033,1130,1178,1169,0,0,40,24,20,16,0,0,0
232,14,1169,1033,1178,503,1130,0,35,25,16,13,11,0,0
233,14,1169,1130,1178,503,1033,0,35,28,15,11,11,0,0
234,14,1033,1169,1178,0,0,0,57,29,14,0,0,0,0
235,14,1130,1033,1169,1178,503,0,24,23,26,16,11,0,0
236,14,1033,1178,1169,0,0,0,71,15,14,0,0,0,0
237,14,1169,1130,1005,503,0,0,35,25,25,15,0,0,0
238,14,1033,1130,1178,1169,0,0,48,26,13,13,0,0,0
239,14,1033,1169,1130,1178,0,0,35,26,23,16,0,0,0
240,14,1033,1129,1169,0,0,0,70,16,14,0,0,0,0
241,14,1033,1169,1178,0,0,0,45,41,14,0,0,0,0
242,14,1033,1129,1169,0,0,0,70,16,14,0,0,0,0
243,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
244,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
245,14,1033,1169,1178,0,0,0,54,27,19,0,0,0,0
246,14,1169,1130,1178,1033,503,0,30,27,20,12,11,0,0
247,14,1169,1130,1178,1033,503,0,34,30,14,12,10,0,0
248,14,1169,1130,1178,503,1033,0,35,28,15,11,11,0,0
249,14,1169,1130,1178,503,1033,0,29,28,20,12,11,0,0
250,14,1033,1178,1169,0,0,0,68,17,15,0,0,0,0
251,14,1169,1130,503,1178,1033,0,37,25,14,12,12,0,0
252,14,1033,1169,1178,0,0,0,69,17,14,0,0,0,0
253,14,1130,1169,1178,503,1033,0,31,30,16,12,11,0,0
254,14,1130,1169,1178,503,1033,0,35,29,14,11,11,0,0
255,14,1033,1129,1169,0,0,0,70,16,14,0,0,0,0
256,14,1033,0,0,0,0,0,100,0,0,0,0,0,0
257,14,1033,1169,0,0,0,0,86,14,0,0,0,0,0
258,14,1033,1178,1169,0,0,0,68,18,14,0,0,0,0
259,14,1033,1169,1178,1130,0,0,38,29,21,12,0,0,0
260,14,1033,1169,0,0,0,0,83,17,0,0,0,0,0
261,14,1033,1169,1178,0,0,0,55,28,17,0,0,0,0
262,14,1033,1178,1169,0,0,0,68,17,15,0,0,0,0
263,14,1033,1169,1178,0,0,0,55,28,17,0,0,0,0
264,14,1033,1178,1130,1169,0,0,60,15,13,12,0,0,0
265,14,1033,1169,1178,0,0,0,56,31,13,0,0,0,0
266,14,1033,1169,1178,0,0,0,56,31,13,0,0,0,0
267,14,1033,1169,1178,0,0,0,56,31,13,0,0,0,0
268,14,1169,1033,1178,503,1130,0,35,25,16,13,11,0,0
269,14,1169,1130,1178,503,1033,0,37,23,14,13,13,0,0
270,14,1076,1033,0,0,0,0,58,42,0,0,0,0,0
271,14,1033,1169,1130,1178,0,0,32,28,25,15,0,0,0
272,14,1033,1178,1169,0,0,0,67,18,15,0,0,0,0
273,14,1033,1169,1178,0,0,0,59,27,14,0,0,0,0
274,14,1033,1169,1178,0,0,0,59,27,14,0,0,0,0
275,14,1033,1178,1169,0,0,0,69,17,14,0,0,0,0
276,14,1033,1178,0,0,0,0,82,18,0,0,0,0,0
277,14,1169,1033,1178,503,1130,0,36,25,15,13,11,0,0
278,14,1033,1169,0,0,0,0,84,16,0,0,0,0,0
279,14,1033,1130,1178,1169,0,0,47,26,14,13,0,0,0
280,14,1033,1169,1178,1130,0,0,45,28,15,12,0,0,0
281,14,1033,1178,1169,0,0,0,72,14,14,0,0,0,0
282,14,1033,1130,1178,1169,0,0,48,26,13,13,0,0,0
283,14,1033,1130,1169,1178,0,0,44,29,15,12,0,0,0
284,14,1033,1169,1178,1130,0,0,60,15,13,12,0,0,0
285,14,1033,1169,1178,0,0,0,67,18,15,0,0,0,0
286,14,1033,1178,1169,0,0,0,68,17,15,0,0,0,0
287,14,1033,1169,0,0,0,0,84,16,0,0,0,0,0
288,14,1033,694,1083,534,1169,0,54,11,11,14,10,0,0
289,14,1033,1130,1178,1169,0,0,42,25,19,14,0,0,0
290,14,1130,1169,1178,503,1033,0,31,32,15,11,11,0,0
291,14,1033,1130,1178,1169,0,0,41,24,20,15,0,0,0
292,14,1033,1129,1169,0,0,0,70,16,14,0,0,0,0
293,14,1033,1169,1178,0,0,0,56,29,15,0,0,0,0
294,14,1033,1141,1169,0,0,0,56,30,14,0,0,0,0
295,14,1033,1169,0,0,0,0,84,16,0,0,0,0,0
296,14,1033,1169,0,0,0,0,82,18,0,0,0,0,0
297,14,1033,1169,1178,0,0,0,45,41,14,0,0,0,0
298,14,1033,1169,0,0,0,0,83,17,0,0,0,0,0
299,14,1169,1130,1178,503,1033,0,35,26,14,14,11,0,0
300,14,1169,1033,1130,1178,0,0,29,27,26,18,0,0,0
301,14,1169,1033,1130,1178,0,0,29,31,26,14,0,0,0
302,14,1033,0,0,0,0,0,100,0,0,0,0,0,0
303,14,1033,1169,1130,0,0,0,41,31,28,0,0,0,0
304,14,1033,1169,1080,0,0,0,66,21,13,0,0,0,0
305,14,1080,1033,1169,503,0,0,40,26,21,13,0,0,0
306,14,1033,1169,0,0,0,0,84,16,0,0,0,0,0
307,14,1033,1129,1169,0,0,0,71,15,14,0,0,0,0
308,14,1033,0,0,0,0,0,100,0,0,0,0,0,0
309,14,1033,1130,1178,1169,0,0,47,26,14,13,0,0,0
310,14,1033,1130,1178,1169,0,0,48,26,13,13,0,0,0
311,14,1033,1129,0,0,0,0,85,15,0,0,0,0,0
312,14,1033,1130,1169,1178,0,0,36,22,22,20,0,0,0
313,14,1130,1033,1169,1178,0,0,34,26,23,17,0,0,0
314,14,1169,1033,1130,1178,0,0,32,26,23,19,0,0,0
315,14,1033,1130,1169,0,0,0,56,30,14,0,0,0,0
316,14,1033,1169,0,0,0,0,83,17,0,0,0,0,0
317,14,1033,1169,1178,1130,0,0,47,27,14,12,0,0,0
318,14,1033,1169,0,0,0,0,83,17,0,0,0,0,0
319,14,1033,1141,1169,0,0,0,54,28,18,0,0,0,0
320,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
321,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
322,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
323,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
324,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
325,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
326,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
327,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
328,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
329,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
330,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
331,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
332,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
333,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
334,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
335,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
336,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
337,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
338,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
339,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
340,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
341,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
342,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
343,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
344,1178,1057,1081,0,0,0,0,56,44,0,0,0,0,0
345,1178,1057,1081,0,0,0,0,56,44,0,0,0,0,0
346,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
347,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
348,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
349,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
350,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
351,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
352,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
353,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
354,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
355,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
356,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
357,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
358,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
359,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
360,1178,534,0,0,0,0,0,100,0,0,0,0,0,0
361,1178,534,0,0,0,0,0,100,0,0,0,0,0,0
362,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
363,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
364,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
365,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
366,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
367,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
368,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
369,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
370,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
371,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
372,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
373,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
374,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
375,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
376,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
377,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
378,1178,1033,1076,995,1090,1088,1080,30,14,14,14,14,14,0
379,1178,1033,1076,995,1090,1088,1080,30,14,14,14,14,14,0
380,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
381,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
382,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
383,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
384,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
385,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
386,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
387,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
388,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
389,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
390,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
391,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
392,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
393,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
394,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
395,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
396,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
397,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
398,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
399,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
400,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
401,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
402,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
403,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
404,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
405,1178,1090,534,1081,1083,694,0,33,23,22,11,11,0,0
406,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
407,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
408,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
409,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
410,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
411,1178,1178,0,0,0,0,0,100,0,0,0,0,0,1
412,1178,1178,1076,0,0,0,0,87,13,0,0,0,0,1
413,1178,1178,1076,0,0,0,0,87,13,0,0,0,0,1
